name,bazel,height,parents
ic-protobuf,no,0,2
ic-error-types,no,0,1
ic-base-types,no,1,1
ic-ic00-types,no,2,0
ic-crypto-internal-sha2,yes,,1
ic-crypto-sha,yes,,1
phantom_newtype,yes,,1
