name,bazel,height,parents,missing bin,missing lib,missing bench,forced
ic-crypto-tls-cert-validation,yes,,2,,,,no
ic-cup-explorer,yes,,2,,,,no
ic-ecdsa-object,yes,,2,,,,no
ic-http-handler,yes,,2,,,,no
ic-ledger-canister-blocks-synchronizer,yes,,2,,,,no
ic-nns-gtc,yes,,2,,,,no
ic-nns-gtc-accounts,yes,,2,,,,no
ic-registry-local-registry,yes,,2,,,,no
ic-replay,yes,,2,,,,no
ic-replica-setup-ic-network,yes,,2,,,,no
ic-rosetta-test-utils,yes,,2,,,,no
ic-sns-wasm,yes,,2,,,,no
ic-transport,yes,,2,,,,no
ic-universal-canister,yes,,2,,,,no
ic-validator,yes,,2,,,,no
ic-xnet-hyper,yes,,2,,,,no
log_analyzer,yes,,2,,,,no
stable-structures,yes,,2,,,,no
xnet-test,yes,,2,,,,no
fe-derive,yes,,1,,,,no
ic-admin-derive,yes,,1,,,,no
ic-btc-adapter-client,yes,,1,,,,no
ic-btc-canister,yes,,1,,,,no
ic-btc-consensus,yes,,1,,,,no
ic-btc-validation,yes,,1,,,,no
ic-canister-sandbox-replica-controller,yes,,1,,,,no
ic-context-logger,yes,,1,,,,no
ic-crypto-internal-basic-sig-cose,yes,,1,,,,no
ic-crypto-internal-basic-sig-ecdsa-secp256k1,yes,,1,,,,no
ic-crypto-internal-csp-test-utils,yes,,1,,,,no
ic-crypto-internal-hmac,yes,,1,,,,no
ic-crypto-node-key-validation,yes,,1,,,,no
ic-crypto-test-utils,yes,,1,,,,no
ic-dashboard,yes,,1,,,,no
ic-fondue,yes,,1,,,,no
ic-icrc1-agent,yes,,1,,,,no
ic-image-upgrader,yes,,1,,,,no
ic-ingress-manager,yes,,1,,,,no
ic-ledger-canister-blocks-synchronizer-test-utils,yes,,1,,,,no
ic-p8s-service-discovery-log,yes,,1,,,,no
ic-pprof,yes,,1,,,,no
ic-recovery,yes,,1,,,,no
ic-regedit,yes,,1,,,,no
ic-registry-replicator,yes,,1,,,,no
ic-replica-tests,yes,,1,,,,no
ic-sns-test-utils,yes,,1,,,,no
ic-state-machine-tests,yes,,1,,,,no
ic-test-utilities-logger,yes,,1,,,,no
ic-test-utilities-metrics,yes,,1,,,,no
ic-xnet-endpoint,yes,,1,,,,no
ic-xnet-payload-builder,yes,,1,,,,no
proxy_canister,yes,,1,,,,no
stable_reader,yes,,1,,,,no
bazelifier,yes,,0,,,,no
boundary-node-prober,yes,,0,,,,no
canister_sandbox,yes,,0,,,,no
criterion-time,yes,,0,,,,no
denylist-updater,yes,,0,,,,no
depcheck,yes,,0,,,,no
http_counter,yes,,0,,,,no
ic-balance-exporter,yes,,0,,,,no
ic-base-types-protobuf-generator,yes,,0,,,,no
ic-btc-adapter,yes,,0,,,,no
ic-btc-test-utils,yes,,0,,,,no
ic-canister-http-adapter,yes,,0,,,,no
ic-certification-test-utils,yes,,0,,,,no
ic-ckbtc-minter,yes,,0,,,,no
ic-crypto-internal-csp-protobuf-generator,yes,,0,,,,no
ic-crypto-test-utils-keygen,yes,,0,,,,no
ic-crypto-test-utils-multi-sigs,yes,,0,,,,no
ic-crypto-test-utils-threshold-sigs,yes,,0,,,,no
ic-crypto-tls,yes,,0,,,,no
ic-determinism-test,yes,,0,,,,no
ic-drun,yes,,0,,,,no
ic-identity,yes,,0,,,,no
ic-nervous-system-common-test-canister,yes,,0,,,,no
ic-nns-common-protobuf-generator,yes,,0,,,,no
ic-nns-governance-protobuf-generator,yes,,0,,,,no
ic-nns-gtc-protobuf-generator,yes,,0,,,,no
ic-nns-handler-root-protobuf-generator,yes,,0,,,,no
ic-nns-inspector,yes,,0,,,,no
ic-nns-test-utils-macros,yes,,0,,,,no
ic-protobuf-generator,yes,,0,,,,no
ic-registry-transport-protobuf-generator,yes,,0,,,,no
ic-scenario-tests,yes,,0,,,,no
ic-sns-governance-protobuf-generator,yes,,0,,,,no
ic-sns-init-protobuf-generator,yes,,0,,,,no
ic-sns-root-protobuf-generator,yes,,0,,,,no
ic-sns-swap-protobuf-generator,yes,,0,,,,no
ic-sns-wasm-proto-generator,yes,,0,,,,no
ic-state-tool,yes,,0,,,,no
ic-test-artifact-pool,yes,,0,,,,no
ic-test-utilities-compare-dirs,yes,,0,,,,no
ic-test-utilities-load-wasm,yes,,0,,,,no
ic-transport-test-client,yes,,0,,,,no
ledger-canister-protobuf-generator,yes,,0,,,,no
memory-test,yes,,0,,,,no
orchestrator,yes,,0,,,,no
pmap,yes,,0,,,,no
registry-canister-protobuf-generator,yes,,0,,,,no
statesync-test,yes,,0,,,,no
vsock_agent,yes,,0,,,,no
boundary-node-control-plane,yes,,0,,,,yes
ecdsa-canister,yes,,0,,,,yes
governance_upgrader,yes,,0,,,,yes
hardware_wallet_tests,yes,,0,,,,yes
ic-admin,yes,,0,,,,yes
ic-crypto-extended-bip32,yes,,0,,,,yes
ic-icrc1-archive,yes,,0,,,,yes
ic-prober,yes,,0,,,,yes
ic-registry-common-proto-generator,yes,,0,,,,yes
ic-sns-cli,yes,,0,,,,yes
ic-starter,yes,,0,,,,yes
ic-workload-generator,yes,,0,,,,yes
identity-canister,yes,,0,,,,yes
nns-ui-canister,yes,,0,,,,yes
response-payload-test,yes,,0,,,,yes
rust-canister-tests,yes,,0,,,,yes
tecdsa-fuzz,yes,,0,,,,yes
